size,block_size,time,l1,l2
4096,128,85.9587,70052518559,130898913093
4096,128,86.3351,70053835600,131078632323
4096,256,95.0735,70546937680,130243106490
4096,256,123.162,72914831144,124839336158
4096,512,389.763,70925336718,76692615346
4096,512,358.263,71179870646,82188092009
6144,128,287.591,236367196074,420893107296
6144,128,286.607,236387882530,421496749076
6144,256,287.767,234465800725,427160029670
6144,256,287.943,234464802495,426430178221
6144,512,450.77,241144390019,393836373211
6144,512,395.267,239390294395,407621610515
8192,128,719.404,560505766232,949727310171
8192,128,719.376,560508056462,949543813766
